,0,1,2
0,/empleos/practicas-contables-navarro-&-mora-asesores-sac-1113561606.html?indiceAviso=0,"PRACTICAS CONTABLES , en NAVARRO & MORA ASESORES SAC - septiembre 2019 - bumeran.com.pe"," SOLICITAMOS PRACTICANTES PARA NUESTRA EMPRESA, PERSONAS DE ULTIMOS CICLOS DE UNIVERSIDAD Y/O INSTITUTO QUE DESEEN INICIAR PRACTICAS EN EL CAMPO DE LA CONTABILIDAD, TRIBUTACION Y LABORAL.      El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
1,/empleos/practicante-administrativo-javier-salas-1113570522.html?indiceAviso=1,"PRACTICANTE ADMINISTRATIVO, en JAVIER SALAS - septiembre 2019 - bumeran.com.pe", EMPRESA DE PRODUCCIONNECESITA PRACTICANTE ADMINISTRATIVO DE SENATI O INSTITUTOSSE DARA BONIFICACIONESTAMOS UBICADOS EN PRO     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    
2,/empleos/practicante-administrativo-frigoinca-s.a.c.-1113528084.html?indiceAviso=2,"PRACTICANTE ADMINISTRATIVO, en FRIGOINCA S.A.C. - agosto 2019 - bumeran.com.pe"," Practicantes en administración o afines, con dominio avanzado de Microsoft Office (Word, Excel, Power Point), con deseo de superación y disponibilidad inmediata.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
3,/empleos/practicante-profesional-1113550206.html?indiceAviso=3,"PRACTICANTE PROFESIONAL , en Confidencial - septiembre 2019 - bumeran.com.pe"," Empresa de Prestigio del rubro de minería se encuentra en la búsqueda de un Practicante Profesional  para la Gerencia General.Egresados de las carreras de Secretariado, Administración o afinesDisponibilidad para trabajar en horario de oficinaDisponibilidad para viajarIngles nivel Avanzado hablado y escrito.BENEFICIOS: - Convenio de prácticas profesionales. - Seguro independiente.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
4,/empleos/practicante-contable-define-servicios-s.a.c.-1113576642.html?indiceAviso=4,"Practicante Contable , en DEFINE SERVICIOS S.A.C. - septiembre 2019 - bumeran.com.pe"," Funciones :1.       Procesar, codificar y contabilizar los diferentes comprobantes por concepto de compras, ventas, ingresos y egresos.2.       Realizar el proceso de facturación.3.       Recepción y revisión de la documentación contable, verificando que esta cumpla con los requisitos minimos de Ley.4.       Realizar las conciliaciones bancarias.5.       Archivo de la documentación.6.       Impresión de libros contables.7.       Toma de inventario. Requisitos :1.       Estudiante Universitario (a partir de 7mo ciclo) de la carrera de Contabilidad. (Excluyente)2.       Contar mínimo con 6 meses en cargos de practicante. (Deseable)3.       Manejo de sistemas contables. (Deseable)4.       Experiencia en digitación.5.       Manejo de paquete de Office.6.       Manejo de Excel nivel intermedio. (Indispensable) Beneficios :1.       Subvenciòn por practicas y beneficios de acuerdo a ley.2.       Convenio de practicas.3.       Seguro de practicante FOLA Pacifico.       El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
5,/empleos/practicante-profesional-1113571036.html?indiceAviso=5,"Practicante Profesional, en Confidencial - septiembre 2019 - bumeran.com.pe"," Importante empresa del Sector Automotriz se encuentra en la búsqueda de: Practicante Profesional  Buscamos Practicantes Profesionales para nuestras diferentes áreas corporativas (Administrativas, Financieras, Comerciales y de Recursos Humanos). Requisitos: ·         Egresado de las carreras de Administración, Contabilidad, Economía, Ingeniería Industrial, etc.·         Disponibilidad para laborar full time.·         Excel a nivel intermedio (manejo de tablas dinámicas)·         Deseable conocimiento del sistema SAP Te contactaremos y haremos saber cuáles son nuestras oportunidades vigentes.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
6,/empleos/practicante-legal-acurio-restaurantes-1113543557.html?indiceAviso=6,"Practicante Legal, en Acurio Restaurantes - septiembre 2019 - bumeran.com.pe"," PRACTICANTE LEGAL Acuriorestaurantes: Líder en la industria de gastronomía con más de 21 restaurantes en Lima, Cusco y Arequipa y más de 30 en el mundo, Astrid&Gastón, Tanta, La Mar, Chicha, Panchita, El Bodegón, Papacho’s, Melate y Barra Chalaca, se encuentra en búsqueda de un Practicante Legal. FuncionesSoporte general al área legal.Revisión de contratos.Atención a reclamos. Requisitos Experiencia de 6 meses.Experiencia viendo derecho administrativo/corporativo. BeneficiosEPS 100%.Descuentos en los restaurantes de la familia Acuriorestaurantes.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
7,/empleos/practicante-contable-grupo-tli-1113558585.html?indiceAviso=7,"PRACTICANTE CONTABLE , en GRUPO TLI - septiembre 2019 - bumeran.com.pe"," En GRUPO TLI, principal operador logístico nacional, se encuentra en la búsqueda de un PRACTICANTE CONTABLE PROFESIONAL que cumpla con los siguientes requisitos:RequisitosProfesional recién egresado en Contabilidad Experiencia mínimo de 06 meses en el área de Contabilidad Disponibilidad inmediata para laborar en el Callao. CompetenciasIniciativaProactividadTrabajo en equipoAsertividadEmpatíaBeneficios Subvención económica Seguro FOLA Convenios corporativos     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
8,/empleos/practicante-ssoma-tasa-1113577583.html?indiceAviso=8,"Practicante SSOMA, en TASA - septiembre 2019 - bumeran.com.pe"," En TASA nos encontramos en la búsqueda de un Practicante SSOMA. Si cumples con los requisitos, ¡Postula a esta Oportunidad!                                                     Practicante SSOMA Requisitos:Estudiante universitario o egresado de la carrera de Ingeniería de Higiene y Seguridad Industrial o Ingeniería Industrial.Excel IntermedioExperiencia en Seguridad, salud y Medio Ambiente (Deseable)Conocimientos Excel IntermedioLegislación nacional e internacional de seguridad, salud y medio ambiente.Elaboración de IPERTécnicas de redacción de informesTécnicas de higiene industrial  Principales Funciones:   Seguimiento de los documentos del sistema de gestión de SSOMA.Actualizar mensalmente los indicadores de gestión de SSOMA.Coordinación de reuniones y comités.Apoyo en coordinación de simulacros y planes de emergencia.Coordinación de investigación de accidentes e incidentes y hacer seguimiento de las acciones correctivas.Apoyo en coordinación de inspección, mantenimiento de equipos de emergencia.Redacción de reportes e informes internosElaboración de las estadísticas de SSOMA.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    "
9,/empleos/practicante-contable-1113570711.html?indiceAviso=9,"PRACTICANTE CONTABLE, en Confidencial - septiembre 2019 - bumeran.com.pe", Nos encontramos en búsqueda del mejor talento para cubrir el puesto de PRACTICANTE CONTABLE. Requisitos:Estudiante universitario de los últimos ciclos de Contabilidad.Sólidos conocimientos contables.Conocimiento en microsoft office.Experiencia 01 año (no excluyente).Manejo de algún ERP (no excluyente).  Funciones:Registro de asientos contables.Registro de caja chica.Entre otras funciones relacionadas al cargo.  Se ofrece:Horario de labores: Lunes a Viernes de 09:00 – 15:00.Remuneración S/ 600.00.Capacitación constante.Oportunidad de desarrollo profesional.Grato ambiente laboral.     El contenido de este aviso es de propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Bumeran sea responsable por ello.    
